order_id,orderDate,customer_id,Resturant_ID,Fooditem,quantity,deliver_status,payment_method
254001,01-01-2023,30,211,2142,4,Delivered,COD
254002,01-01-2023,25,214,2152,7,Delivered,COD
254003,01-01-2023,28,212,2145,2,Delivered,UPI
254004,01-01-2023,4,213,2149,2,Delivered,UPI
254005,01-01-2023,30,211,2141,4,Cancelled,UPI
254006,01-01-2023,17,212,2147,4,Delivered,COD
254007,01-01-2023,17,211,2142,4,Delivered,COD
254008,02-01-2023,15,216,2161,7,Delivered,UPI
254009,02-01-2023,10,211,2141,7,Delivered,COD
254010,02-01-2023,29,212,2147,7,Delivered,UPI
254011,02-01-2023,25,213,2148,4,Delivered,UPI
254012,02-01-2023,3,212,2145,10,Delivered,COD
254013,02-01-2023,4,213,2150,5,Delivered,UPI
254014,02-01-2023,13,211,2144,1,Delivered,COD
254015,02-01-2023,4,212,2147,9,Delivered,UPI
254016,02-01-2023,25,217,2165,10,Delivered,UPI
254017,02-01-2023,4,212,2145,1,Delivered,UPI
254018,02-01-2023,28,211,2142,9,Delivered,UPI
254019,02-01-2023,6,211,2144,2,Delivered,COD
254020,02-01-2023,9,212,2145,8,Delivered,UPI
254021,02-01-2023,26,212,2145,1,Delivered,UPI
254022,02-01-2023,12,211,2142,9,Delivered,UPI
254023,02-01-2023,18,211,2142,7,Delivered,UPI
254024,02-01-2023,30,211,2142,6,Delivered,UPI
254025,02-01-2023,6,211,2142,7,Cancelled,COD
254026,02-01-2023,18,212,2147,8,Delivered,Card
254027,02-01-2023,27,216,2163,2,Delivered,UPI
254028,02-01-2023,30,212,2147,6,Delivered,UPI
254029,02-01-2023,23,217,2165,4,Delivered,COD
254030,02-01-2023,4,217,2165,5,Delivered,COD
254031,02-01-2023,18,211,2141,6,Delivered,COD
254032,03-01-2023,25,212,2147,1,Delivered,UPI
254033,03-01-2023,19,216,2163,1,Delivered,UPI
254034,03-01-2023,25,211,2141,6,Delivered,UPI
254035,03-01-2023,16,212,2147,4,Delivered,UPI
254036,03-01-2023,15,211,2142,6,Delivered,UPI
254037,03-01-2023,19,211,2143,6,Delivered,COD
254038,03-01-2023,4,211,2142,4,Delivered,UPI
254039,03-01-2023,15,214,2155,4,Delivered,COD
254040,03-01-2023,6,212,2145,2,Delivered,COD
254041,03-01-2023,3,211,2141,7,Delivered,UPI
254042,03-01-2023,24,211,2141,7,Delivered,UPI
254043,03-01-2023,30,212,2145,4,Delivered,UPI
254044,04-01-2023,15,217,2165,10,Delivered,UPI
254045,04-01-2023,4,216,2161,3,Delivered,COD
254046,04-01-2023,30,214,2154,8,Delivered,COD
254047,04-01-2023,12,213,2148,10,Delivered,UPI
254048,04-01-2023,13,217,2165,3,Delivered,UPI
254049,04-01-2023,15,211,2141,9,Delivered,COD
254050,04-01-2023,6,211,2142,4,Delivered,UPI
254051,04-01-2023,26,217,2164,2,Delivered,UPI
254052,04-01-2023,7,211,2142,5,Delivered,UPI
254053,04-01-2023,26,217,2164,2,Delivered,UPI
254054,04-01-2023,15,212,2145,8,Delivered,COD
254055,04-01-2023,25,214,2152,1,Delivered,Card
254056,04-01-2023,23,217,2164,7,Delivered,UPI
254057,04-01-2023,21,211,2144,8,Delivered,UPI
254058,04-01-2023,6,213,2150,5,Cancelled,UPI
254059,04-01-2023,6,211,2142,7,Delivered,COD
254060,04-01-2023,21,212,2145,3,Delivered,Card
254061,04-01-2023,13,212,2147,3,Delivered,COD
254062,04-01-2023,30,212,2147,2,Delivered,UPI
254063,04-01-2023,3,212,2147,2,Delivered,UPI
254064,04-01-2023,25,212,2145,4,Delivered,COD
254065,04-01-2023,25,212,2147,6,Delivered,COD
254066,04-01-2023,13,211,2144,4,Delivered,COD
254067,04-01-2023,16,211,2142,6,Delivered,UPI
254068,04-01-2023,25,213,2150,7,Cancelled,UPI
254069,04-01-2023,3,212,2147,2,Delivered,UPI
254070,04-01-2023,11,217,2165,6,Delivered,UPI
254071,04-01-2023,16,217,2166,2,Delivered,UPI
254072,04-01-2023,1,211,2143,7,Delivered,Card
254073,04-01-2023,4,211,2142,5,Delivered,UPI
254074,04-01-2023,8,216,2160,5,Delivered,COD
254075,04-01-2023,19,211,2141,2,Delivered,UPI
254076,04-01-2023,22,216,2160,1,Delivered,COD
254077,04-01-2023,17,211,2142,1,Delivered,UPI
254078,05-01-2023,9,214,2154,6,Delivered,UPI
254079,05-01-2023,26,211,2141,2,Delivered,UPI
254080,05-01-2023,25,217,2167,5,Delivered,UPI
254081,05-01-2023,9,212,2147,3,Delivered,COD
254082,05-01-2023,25,211,2142,1,Cancelled,UPI
254083,05-01-2023,10,211,2143,2,Delivered,UPI
254084,05-01-2023,8,211,2142,6,Delivered,COD
254085,05-01-2023,1,212,2146,10,Delivered,UPI
254086,05-01-2023,2,214,2151,8,Delivered,Card
254087,05-01-2023,25,214,2151,4,Delivered,UPI
254088,05-01-2023,25,211,2141,5,Delivered,UPI
254089,05-01-2023,4,211,2142,8,Delivered,Card
254090,05-01-2023,25,212,2147,2,Delivered,UPI
254091,05-01-2023,18,214,2154,5,Delivered,Card
254092,05-01-2023,7,217,2164,6,Delivered,COD
254093,05-01-2023,23,211,2142,3,Delivered,COD
254094,05-01-2023,4,212,2145,5,Delivered,UPI
254095,05-01-2023,19,214,2154,10,Delivered,UPI
254096,05-01-2023,27,217,2164,6,Delivered,COD
254097,05-01-2023,25,213,2149,7,Delivered,UPI
254098,05-01-2023,10,217,2164,5,Delivered,UPI
254099,06-01-2023,7,213,2150,2,Delivered,UPI
254100,06-01-2023,4,213,2148,10,Delivered,UPI
254101,06-01-2023,25,214,2152,3,Delivered,UPI
254102,07-01-2023,25,212,2146,10,Delivered,COD
254103,07-01-2023,15,216,2160,5,Delivered,UPI
254104,07-01-2023,16,213,2148,3,Delivered,COD
254105,07-01-2023,4,214,2153,10,Delivered,Card
254106,08-01-2023,25,212,2147,8,Delivered,UPI
254107,08-01-2023,14,212,2145,6,Delivered,Card
254108,08-01-2023,5,212,2147,2,Delivered,UPI
254109,08-01-2023,25,214,2153,5,Delivered,COD
254110,08-01-2023,1,217,2167,2,Delivered,UPI
254111,08-01-2023,4,217,2165,7,Delivered,UPI
254112,08-01-2023,10,212,2147,8,Delivered,COD
254113,08-01-2023,15,213,2150,2,Delivered,UPI
254114,08-01-2023,22,211,2141,2,Delivered,UPI
254115,08-01-2023,25,211,2142,5,Delivered,UPI
254116,08-01-2023,12,216,2161,4,Delivered,UPI
254117,08-01-2023,12,216,2162,5,Delivered,UPI
254118,08-01-2023,28,213,2149,10,Cancelled,UPI
254119,08-01-2023,10,211,2144,4,Delivered,UPI
254120,08-01-2023,10,212,2145,7,Delivered,COD
254121,08-01-2023,2,217,2166,9,Delivered,Card
254122,08-01-2023,25,211,2144,10,Delivered,UPI
254123,08-01-2023,18,212,2147,1,Delivered,UPI
254124,08-01-2023,5,217,2165,9,Delivered,UPI
254125,08-01-2023,26,214,2155,2,Delivered,COD
254126,08-01-2023,18,211,2142,6,Delivered,Card
254127,08-01-2023,18,212,2147,4,Delivered,UPI
254128,08-01-2023,14,213,2148,2,Delivered,COD
254129,08-01-2023,9,212,2147,6,Delivered,Card
254130,08-01-2023,10,212,2147,7,Delivered,Card
254131,08-01-2023,3,214,2155,10,Delivered,UPI
254132,08-01-2023,6,213,2148,9,Cancelled,UPI
254133,08-01-2023,27,214,2153,2,Delivered,UPI
254134,08-01-2023,15,213,2149,9,Delivered,COD
254135,08-01-2023,16,211,2141,1,Delivered,COD
254136,08-01-2023,21,216,2163,5,Delivered,UPI
254137,08-01-2023,4,214,2155,3,Delivered,Card
254138,08-01-2023,22,212,2145,6,Delivered,UPI
254139,08-01-2023,8,213,2150,10,Delivered,COD
254140,08-01-2023,19,214,2155,2,Delivered,UPI
254141,08-01-2023,8,214,2151,9,Delivered,UPI
254142,08-01-2023,3,211,2141,10,Delivered,UPI
254143,08-01-2023,28,213,2150,10,Delivered,UPI
254144,08-01-2023,9,211,2142,8,Delivered,UPI
254145,08-01-2023,16,213,2150,8,Delivered,UPI
254146,08-01-2023,4,212,2146,5,Delivered,COD
254147,08-01-2023,5,213,2149,7,Delivered,COD
254148,08-01-2023,20,214,2152,2,Delivered,Card
254149,08-01-2023,22,212,2145,8,Delivered,UPI
254150,09-01-2023,13,216,2160,10,Delivered,UPI
254151,09-01-2023,2,213,2150,7,Delivered,COD
254152,09-01-2023,25,216,2163,2,Delivered,COD
254153,09-01-2023,25,212,2147,6,Delivered,Card
254154,09-01-2023,4,214,2154,7,Cancelled,COD
254155,09-01-2023,24,211,2141,4,Delivered,UPI
254156,09-01-2023,25,217,2167,5,Delivered,COD
254157,10-01-2023,4,213,2148,5,Delivered,COD
254158,10-01-2023,4,211,2141,8,Delivered,UPI
254159,10-01-2023,24,216,2160,4,Delivered,UPI
254160,10-01-2023,25,216,2163,1,Delivered,UPI
254161,10-01-2023,25,212,2147,4,Delivered,UPI
254162,11-01-2023,25,213,2148,7,Delivered,UPI
254163,11-01-2023,28,214,2153,6,Delivered,UPI
254164,11-01-2023,8,211,2141,7,Delivered,UPI
254165,12-01-2023,19,216,2162,3,Delivered,COD
254166,13-01-2023,4,217,2165,9,Delivered,Card
254167,13-01-2023,14,216,2160,7,Delivered,UPI
254168,13-01-2023,25,212,2147,6,Delivered,UPI
254169,13-01-2023,25,212,2146,2,Delivered,COD
254170,13-01-2023,4,213,2150,2,Delivered,COD
254171,13-01-2023,7,217,2164,6,Delivered,UPI
254172,13-01-2023,4,211,2142,5,Delivered,UPI
254173,13-01-2023,12,211,2144,9,Delivered,UPI
254174,13-01-2023,25,211,2144,5,Delivered,UPI
254175,13-01-2023,25,212,2147,2,Delivered,Card
254176,13-01-2023,3,214,2151,8,Delivered,UPI
254177,13-01-2023,25,212,2146,4,Delivered,UPI
254178,14-01-2023,8,213,2150,5,Delivered,UPI
254179,14-01-2023,3,217,2164,3,Delivered,COD
254180,14-01-2023,12,211,2142,1,Delivered,UPI
254181,14-01-2023,4,212,2147,5,Delivered,UPI
254182,14-01-2023,3,217,2164,7,Delivered,UPI
254183,14-01-2023,25,212,2145,8,Cancelled,Card
254184,14-01-2023,1,213,2148,5,Delivered,UPI
254185,14-01-2023,7,211,2141,8,Delivered,UPI
254186,14-01-2023,19,214,2153,7,Delivered,UPI
254187,14-01-2023,7,211,2142,6,Delivered,COD
254188,14-01-2023,4,212,2145,1,Delivered,COD
254189,14-01-2023,30,217,2164,9,Delivered,COD
254190,14-01-2023,5,213,2150,9,Cancelled,UPI
254191,14-01-2023,30,212,2145,9,Delivered,UPI
254192,14-01-2023,9,212,2147,6,Delivered,UPI
254193,14-01-2023,19,212,2147,10,Cancelled,COD
254194,14-01-2023,12,212,2145,10,Delivered,UPI
254195,14-01-2023,7,212,2146,3,Delivered,UPI
254196,14-01-2023,27,214,2153,7,Delivered,UPI
254197,14-01-2023,7,211,2143,4,Delivered,UPI
254198,14-01-2023,4,217,2165,9,Delivered,UPI
254199,14-01-2023,25,212,2145,8,Delivered,UPI
254200,14-01-2023,4,214,2151,10,Delivered,UPI
254201,14-01-2023,25,211,2141,1,Delivered,COD
254202,14-01-2023,16,214,2154,6,Delivered,Card
254203,14-01-2023,30,213,2149,8,Delivered,UPI
254204,14-01-2023,4,211,2141,2,Delivered,UPI
254205,14-01-2023,25,212,2145,2,Delivered,UPI
254206,14-01-2023,4,212,2147,4,Delivered,COD
254207,14-01-2023,19,214,2151,3,Delivered,UPI
254208,14-01-2023,22,214,2153,5,Delivered,COD
254209,14-01-2023,25,211,2144,1,Delivered,UPI
254210,14-01-2023,6,214,2155,4,Delivered,UPI
254211,14-01-2023,25,212,2147,4,Delivered,UPI
254212,14-01-2023,22,217,2164,1,Delivered,UPI
254213,14-01-2023,25,211,2143,1,Delivered,UPI
254214,14-01-2023,25,212,2147,8,Delivered,COD
254215,14-01-2023,4,212,2146,5,Delivered,COD
254216,14-01-2023,29,213,2149,3,Delivered,UPI
254217,14-01-2023,4,212,2145,1,Delivered,UPI
254218,14-01-2023,4,213,2148,4,Delivered,UPI
254219,14-01-2023,4,214,2153,5,Delivered,UPI
254220,14-01-2023,15,212,2147,7,Delivered,UPI
254221,14-01-2023,7,211,2142,1,Delivered,UPI
254222,14-01-2023,4,212,2147,4,Delivered,COD
254223,14-01-2023,4,213,2149,2,Delivered,COD
254224,15-01-2023,6,211,2142,10,Delivered,COD
254225,15-01-2023,4,217,2167,2,Delivered,UPI
254226,15-01-2023,5,211,2141,8,Delivered,Card
254227,15-01-2023,27,212,2147,10,Delivered,UPI
254228,15-01-2023,22,217,2164,1,Cancelled,UPI
254229,15-01-2023,8,214,2155,9,Delivered,UPI
254230,15-01-2023,22,214,2154,4,Delivered,UPI
254231,15-01-2023,4,212,2147,5,Delivered,UPI
254232,15-01-2023,19,211,2142,5,Delivered,COD
254233,15-01-2023,25,213,2149,4,Delivered,UPI
254234,15-01-2023,19,211,2143,8,Delivered,UPI
254235,15-01-2023,1,213,2148,4,Delivered,UPI
254236,15-01-2023,17,213,2149,3,Delivered,COD
254237,15-01-2023,25,214,2152,2,Delivered,COD
254238,15-01-2023,26,211,2142,9,Delivered,UPI
254239,15-01-2023,25,214,2151,4,Delivered,UPI
254240,15-01-2023,17,213,2150,6,Delivered,UPI
254241,15-01-2023,4,214,2154,1,Delivered,Card
254242,15-01-2023,18,213,2150,7,Delivered,COD
254243,15-01-2023,17,214,2153,6,Delivered,UPI
254244,15-01-2023,4,216,2163,5,Delivered,COD
254245,15-01-2023,4,214,2154,1,Delivered,COD
254246,15-01-2023,6,211,2142,6,Delivered,UPI
254247,15-01-2023,25,216,2160,3,Delivered,UPI
254248,15-01-2023,27,216,2163,6,Delivered,UPI
254249,15-01-2023,4,214,2152,3,Cancelled,Card
254250,15-01-2023,16,212,2145,10,Delivered,UPI
254251,15-01-2023,1,212,2145,10,Delivered,COD
254252,15-01-2023,26,214,2153,2,Delivered,COD
254253,15-01-2023,17,212,2145,7,Delivered,UPI
254254,15-01-2023,2,216,2162,8,Delivered,UPI
254255,15-01-2023,25,212,2147,10,Delivered,UPI
254256,15-01-2023,15,212,2147,7,Delivered,UPI
254257,15-01-2023,9,213,2150,4,Delivered,UPI
254258,15-01-2023,16,211,2141,3,Delivered,UPI
254259,15-01-2023,1,211,2142,10,Delivered,UPI
254260,16-01-2023,19,217,2165,9,Delivered,UPI
254261,16-01-2023,7,214,2155,3,Delivered,UPI
254262,16-01-2023,23,211,2141,5,Delivered,UPI
254263,16-01-2023,24,217,2164,3,Delivered,Card
254264,16-01-2023,30,213,2148,4,Delivered,UPI
254265,16-01-2023,25,214,2155,8,Delivered,UPI
254266,16-01-2023,23,216,2163,10,Delivered,UPI
254267,16-01-2023,21,211,2142,9,Delivered,COD
254268,16-01-2023,9,213,2149,10,Delivered,COD
254269,16-01-2023,11,216,2161,8,Delivered,COD
254270,16-01-2023,29,213,2148,5,Cancelled,UPI
254271,16-01-2023,27,211,2141,8,Delivered,UPI
254272,16-01-2023,9,217,2165,10,Delivered,COD
254273,16-01-2023,23,211,2141,5,Delivered,UPI
254274,16-01-2023,20,212,2145,6,Delivered,UPI
254275,16-01-2023,13,213,2150,6,Delivered,UPI
254276,16-01-2023,25,214,2152,10,Delivered,UPI
254277,16-01-2023,12,211,2143,9,Delivered,UPI
254278,16-01-2023,1,211,2144,3,Delivered,COD
254279,16-01-2023,17,211,2142,2,Delivered,UPI
254280,16-01-2023,25,211,2144,7,Cancelled,COD
254281,16-01-2023,9,213,2148,7,Delivered,UPI
254282,16-01-2023,18,214,2152,9,Delivered,UPI
254283,16-01-2023,6,216,2163,4,Delivered,UPI
254284,16-01-2023,25,217,2165,9,Delivered,UPI
254285,16-01-2023,17,217,2164,10,Cancelled,COD
254286,16-01-2023,4,214,2154,1,Delivered,UPI
254287,16-01-2023,25,212,2146,6,Delivered,UPI
254288,16-01-2023,25,212,2147,6,Delivered,UPI
254289,16-01-2023,25,213,2149,5,Delivered,UPI
254290,16-01-2023,4,217,2164,3,Delivered,UPI
254291,16-01-2023,3,214,2155,8,Delivered,UPI
