review	sentiment
This movie was amazing	Positive
I loved every scene	Positive
Fantastic acting	Positive
Best movie ever	Positive
Wonderful story	Positive
Excellent direction	Positive
Superb cinematography	Positive
Highly recommended	Positive
Brilliant screenplay	Positive
I enjoyed the movie	Positive
Worst movie ever	Negative
I hated this film	Negative
Terrible acting	Negative
Waste of time	Negative
Very boring	Negative
Bad storyline	Negative
Poor direction	Negative
Not recommended	Negative
Horrible experience	Negative
Disappointing movie	Negative
